event_type,time_since_last_event,key_pressed,mouse_position_x,mouse_poistion_y,mouse_button
mouse_click,0,,666,283,left
mouse_click,0.29611945152282715,,1090,767,left
mouse_click,1.4089934825897217,,689,28,left
mouse_click,1.5836501121520996,,688,27,left
mouse_click,7.6561806201934814,,688,27,left
mouse_click,7.125112056732178,,688,27,left
mouse_click,6.000046491622925,,407,29,left
mouse_click,7.240553617477417,,901,95,left
mouse_click,7.101458787918091,,570,583,left
mouse_click,8.244750499725342,,1201,548,left
mouse_click,7.214415073394775,,457,408,left
mouse_click,6.396095275878906,,701,34,left
mouse_click,4.94189715385437,,477,564,left
mouse_click,10.048822164535522,,387,522,left
mouse_click,2.791499376296997,,111,180,left
mouse_click,6.207060098648071,,111,180,left
mouse_click,0.20189380645751953,,919,331,left
mouse_click,7.085979700088501,,854,416,left
mouse_click,3.8055500984191895,,472,576,left
key_press,1.3633050918579102,q,,,
